metric,value
archivo,SS000035.CSV
atleta,CLAUDIA P00
firmware,SS-LITE-BLE-SD-V1-052
modo,TEST
duracion_s,23
muestras,151
rot_der_deg,2.91
rot_izq_deg,9.78
rot_der_peak_avg_deg,2.91
rot_izq_peak_avg_deg,9.78
rot_der_max_deg,5.19
rot_izq_max_deg,19.94
rot_der_max_util_35_65_deg,0
rot_izq_max_util_35_65_deg,0
rot_der_max_funcional_35_55_deg,0
rot_izq_max_funcional_35_55_deg,0
rot_der_max_competitivo_55_65_deg,0
rot_izq_max_competitivo_55_65_deg,0
rot_der_general_avg_deg,1.7
rot_izq_general_avg_deg,2.6
rot_der_zone_35_65_s,0
rot_izq_zone_35_65_s,0
rot_der_zone_35_55_s,0
rot_izq_zone_35_55_s,0
rot_der_zone_55_65_s,0
rot_izq_zone_55_65_s,0
rot_der_max_streak_35_65_s,0
rot_izq_max_streak_35_65_s,0
rot_prom_deg,6.35
rotation_zone,baja
simetria_diff_deg,6.87
alineacion_prom_deg,0.5
base_pitch_deg,-1.3
base_roll_deg,86
base_ud,0.66
impulso_prom,0.09
brazadas_estimadas,1
session_type,NO_CLASIFICADO
false_positive_warning,revisar_antes_de_contar_brazadas
ritmo_s,--
gps_puntos,0
distancia_m,0
mejor_tramo_inicio_s,0.68
mejor_tramo_fin_s,23.68
