metric,value
archivo,SS000038.CSV
atleta,CLAUDIA RI
firmware,SS-LITE-BLE-SD-V1-052
modo,TEST
duracion_s,31
muestras,235
rot_der_deg,5
rot_izq_deg,1.69
rot_der_peak_avg_deg,5
rot_izq_peak_avg_deg,1.69
rot_der_max_deg,6.91
rot_izq_max_deg,3.62
rot_der_max_util_35_65_deg,0
rot_izq_max_util_35_65_deg,0
rot_der_max_funcional_35_55_deg,0
rot_izq_max_funcional_35_55_deg,0
rot_der_max_competitivo_55_65_deg,0
rot_izq_max_competitivo_55_65_deg,0
rot_der_general_avg_deg,2.16
rot_izq_general_avg_deg,0.94
rot_der_zone_35_65_s,0
rot_izq_zone_35_65_s,0
rot_der_zone_35_55_s,0
rot_izq_zone_35_55_s,0
rot_der_zone_55_65_s,0
rot_izq_zone_55_65_s,0
rot_der_max_streak_35_65_s,0
rot_izq_max_streak_35_65_s,0
rot_prom_deg,3.35
rotation_zone,baja
simetria_diff_deg,3.32
alineacion_prom_deg,24.2
base_pitch_deg,-8.3
base_roll_deg,-11.9
base_ud,9.27
impulso_prom,1.11
brazadas_estimadas,0
session_type,NO_CLASIFICADO
false_positive_warning,revisar_antes_de_contar_brazadas
ritmo_s,--
gps_puntos,0
distancia_m,0
mejor_tramo_inicio_s,0.71
mejor_tramo_fin_s,30.71
