metric,value
archivo,SS000016.CSV
atleta,prueba 2
firmware,SS-LITE-BLE-SD-V1-052
modo,TEST
duracion_s,46
muestras,308
rot_der_deg,1.18
rot_izq_deg,19.03
rot_der_peak_avg_deg,1.18
rot_izq_peak_avg_deg,19.03
rot_der_max_deg,26.01
rot_izq_max_deg,31.16
rot_der_max_util_35_65_deg,0
rot_izq_max_util_35_65_deg,0
rot_der_max_funcional_35_55_deg,0
rot_izq_max_funcional_35_55_deg,0
rot_der_max_competitivo_55_65_deg,0
rot_izq_max_competitivo_55_65_deg,0
rot_der_general_avg_deg,1.54
rot_izq_general_avg_deg,6.89
rot_der_zone_35_65_s,0
rot_izq_zone_35_65_s,0
rot_der_zone_35_55_s,0
rot_izq_zone_35_55_s,0
rot_der_zone_55_65_s,0
rot_izq_zone_55_65_s,0
rot_der_max_streak_35_65_s,0
rot_izq_max_streak_35_65_s,0
rot_prom_deg,10.1
rotation_zone,baja
simetria_diff_deg,17.85
alineacion_prom_deg,7.3
base_pitch_deg,-13.4
base_roll_deg,-10.1
base_ud,9.23
impulso_prom,0.46
brazadas_estimadas,6
session_type,PRUEBA_TECNICA
false_positive_warning,revisar_antes_de_contar_brazadas
ritmo_s,1.26
gps_puntos,6
distancia_m,1.03
mejor_tramo_inicio_s,0.53
mejor_tramo_fin_s,30.53
