metric,value
archivo,INCOMPLETA_SS000006 (1).CSV
atleta,prueba ver 54
firmware,SS-LITE-BLE-SD-V1-054
modo,TEST
duracion_s,50
muestras,417
rot_der_deg,41.58
rot_izq_deg,65.78
rot_der_peak_avg_deg,41.58
rot_izq_peak_avg_deg,65.78
rot_der_max_deg,94.5
rot_izq_max_deg,135.6
rot_der_general_avg_deg,28.94
rot_izq_general_avg_deg,37.06
rot_der_zone_35_65_s,7.89
rot_izq_zone_35_65_s,9.43
rot_der_zone_35_55_s,7.89
rot_izq_zone_35_55_s,6.26
rot_der_zone_55_65_s,0
rot_izq_zone_55_65_s,3.17
rot_der_max_streak_35_65_s,0.8
rot_izq_max_streak_35_65_s,1.69
rot_prom_deg,53.68
rotation_zone,funcional_inicial
simetria_diff_deg,24.21
alineacion_prom_deg,3.9
base_pitch_deg,1.5
base_roll_deg,0.6
base_ud,9.09
impulso_prom,2.91
brazadas_estimadas,29
session_type,NADO_PROBABLE
false_positive_warning,no
ritmo_s,1.63
gps_puntos,417
distancia_m,8
mejor_tramo_inicio_s,30.47
mejor_tramo_fin_s,60.47
